URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Remote Address,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Header Size (bytes),Request Body Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
http://2img.mgtv.com/preview/sp_images/2017/yinle/309671/3763844/20170101110008978.jpg_366x206.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,2img.mgtv.com/0.0.107.89,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,172,6,14,,0,128,24,114.31445,0.0,151.77832,240,,539,19355,,
https://clients4.google.com,CONNECTING,0,https,CONNECT,,/127.0.0.1,clients4.google.com/0.0.107.93,,14 Sep 2017 17:29:51,,,,15909,2,,,,,,0.013671875,,,232,,,,,
https://music.163.com/eapi/copyright/restrict/,COMPLETE,200,https,POST,text/plain;charset=UTF-8,/127.0.0.1,music.163.com/0.0.107.95,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,161,1,82,41,1,13,23,9.116211,1392.5781,5.7841797,715,711,0,77,,-108.1%
http://2img.mgtv.com/preview/cms_icon/2016/12/20161228160739914.jpg_738x416.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,2img.mgtv.com/0.0.107.89,,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,14 Sep 2017 17:29:51,507,,,,0,432,75,341.2627,0.0,400.01074,221,,540,176412,,
http://y.da.hunantv.com/app/click?adid=666B127A105B478BAE71E3BFB86CABDB&adtotal=4&appver=5.5.2&b=4580&cc=1156310000&channel=20&cxid=&from=ali&grade=B&gray=PC&hid=317829&id=WbpMB5cnxiSvEpTL&idfa=&imei=&iscontinue=0&isintact=1&isshort=0&mac=0F607264FC6318A92B9E13C65DB7CD3C&mn=Phantom6&org=0&os=0&osver=6.0&pg=0&plid=0&sdkver=MGADSDK_V1.0.5_20170803&tags=ali&udid=9318c794e4c75cb4&uname=&up=&v=4097750&video_len=11403&adtype=1&bid=&cd=238181&ct=320461&d=9318c794e4c75cb4&ip=180.169.157.234&ipdx=0&mt=1&o=20170960&postion=0&s=200009&tn=1&type=2&t=0&pt=[TIME]&ts=1505381385&sn=009B1488357E75C12C1B9440271F9135,COMPLETE,200,http,GET,image/gif,/172.24.3.158,y.da.hunantv.com/0.0.107.66,,14 Sep 2017 17:29:52,14 Sep 2017 17:29:52,14 Sep 2017 17:29:52,14 Sep 2017 17:29:52,74,2,35,,0,1,36,11.533203,0.0,221.67969,647,,184,43,,
http://mobile.api.hunantv.com/v9/video/info?device=Phantom6&clipId=308622&androidid=9318c794e4c75cb4&source=1&userId=0&seqId=096e5c5dd4264bb9a14b8f0e65bcf160&uuid=&mac=i9318c794e4c75cb&videoId=3734684&ticket=&abroad=0&localPlayVideoId=0&endType=mgtvapp&appVersion=5.5.2&osType=android&imei=null&localVideoWatchTime=0&version=5.2&ua=Mozilla%252F5.0%2B%2528Linux%253B%2BAndroid%2B6.0%253B%2BPhantom6%2BBuild%252FMRA58K%253B%2Bwv%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BVersion%252F4.0%2BChrome%252F55.0.2883.91%2BMobile%2BSafari%252F537.36%2BImgoTV-aphone%252F5.5.2.170914&macaddress=02%3A00%3A00%3A00%3A00%3A00&osVersion=6.0&keepPlay=1&uid=&type=10&channel=yybcpd,COMPLETE,200,http,GET,text/html;charset=UTF-8,/172.24.3.158,mobile.api.hunantv.com/0.0.107.97,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,90,4,44,,0,1,41,27.27832,0.0,1620.1172,855,,108,1551,,58.9%
http://aphone.v0.mgtv.com/cp.php?mod=Phantom6&act=cp1&ch=yybcpd&time=20170914102958&mf=TECNO&did=i9318c794e4c75cb&suuid=00be1a41-e09d-4972-a05f-2dc0209e3b99&aver=imgotv-aphone-5.5.2.1&idx=0&sver=aphone-6.0&net=1,COMPLETE,200,http,GET,application/octet-stream,/172.24.3.158,aphone.v0.mgtv.com/0.0.107.98,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,71,3,38,,1,0,29,6.711914,365.23438,0.0,374,,114,0,,
http://mobile.api.hunantv.com/v8/video/getSource?device=Phantom6&clipId=308622&androidid=9318c794e4c75cb4&source=1&userId=0&seqId=8329086a63e8959857caa8b3913be7a4&uuid=&mac=i9318c794e4c75cb&videoId=3734684&ticket=&abroad=0&localPlayVideoId=0&endType=mgtvapp&appVersion=5.5.2&osType=android&imei=null&localVideoWatchTime=0&version=5.2&macaddress=02%3A00%3A00%3A00%3A00%3A00&osVersion=6.0&keepPlay=1&uid=&type=10&channel=yybcpd,COMPLETE,200,http,GET,text/html;charset=UTF-8,/172.24.3.158,mobile.api.hunantv.com/0.0.107.97,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,88,3,43,,0,0,42,32.015625,0.0,0.0,588,,108,2189,,38.8%
http://v2.res.log.hunantv.com/info.php?e=0&f=0&h=x.da.hunantv.com&s=1&l=app%2Fplayer&t=4&m=02%3A00%3A00%3A00%3A00%3A00&mf=TECNO&mod=Phantom6&net=1&sv=6.0&v=imgotv-aphone-5.5.2&msg=&uuid=&osv=0&sdkver=MGADSDK_V1.0.5_20170803&did=&aver=imgotv-aphone-5.5.2&sver=aphone-6.0&ch=yybcpd&time=20170914102958&c=0&d=&pt=0&type=0&suuid=00be1a41-e09d-4972-a05f-2dc0209e3b99&id=de3a9257-9b59-4fb9-966c-13b945b4645f&vid=3734684,COMPLETE,200,http,GET,text/plain,/172.24.3.158,v2.res.log.hunantv.com/0.0.107.99,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,75,2,41,,0,0,32,11.3671875,0.0,0.0,769,,104,0,,
http://x.da.hunantv.com/app/player,COMPLETE,200,http,POST,text/html,/172.24.3.158,x.da.hunantv.com/0.0.107.100,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,161,2,41,,0,2,116,46.97754,0.0,2170.4102,269,3031,122,4323,,88.6%
http://galaxy.person.mgtv.com/getctlbarrage?platform=2&vid=3734684&pid=0&version=aphone-5.5.2&uuid=&mac=i9318c794e4c75cb&cid=308622&ticket=&phonetype=Phantom6&abroad=0&deviceid=null&os=6.0,COMPLETE,200,http,GET,application/json,/172.24.3.158,galaxy.person.mgtv.com/0.0.107.101,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,77,3,40,,0,0,34,7.2158203,0.0,0.0,351,,107,111,,
http://vc.mgtv.com/v2/watch?device=Phantom6&androidid=9318c794e4c75cb4&userId=0&seqId=3cc7064934901643014c5c9964e2b84c&uuid=&mac=i9318c794e4c75cb&ticket=&abroad=0&endType=mgtvapp&appVersion=5.5.2&osType=android&imei=null&version=5.2&macaddress=02%3A00%3A00%3A00%3A00%3A00&osVersion=6.0&uid=&type=10&channel=yybcpd,COMPLETE,200,http,POST,text/html;charset=UTF-8,/172.24.3.158,vc.mgtv.com/0.0.107.102,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,102,3,42,,0,0,57,7.5439453,0.0,0.0,546,32,118,92,,
http://1img.mgtv.com/preview/sp_images/2016/yinle/308622/3734684/20161209213821007.jpg,COMPLETE,200,http,GET,image/jpeg,/172.24.3.158,1img.mgtv.com/0.0.107.87,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:59,91,2,9,,0,68,12,599.31934,0.0,798.75586,228,,537,55082,,
http://x.da.hunantv.com/m/page,COMPLETE,200,http,POST,text/html,/172.24.3.158,x.da.hunantv.com/0.0.107.100,,14 Sep 2017 17:29:58,14 Sep 2017 17:29:58,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,188,3,29,,0,0,156,8.321289,0.0,0.0,265,1199,75,63,,
http://mobile.api.hunantv.com/v8/video/list?uid=&appVersion=5.5.2&ticket=&fstlvlType=20&osType=android&videoId=3734684&device=Phantom6&mac=i9318c794e4c75cb&pageCount=1&clipId=308622&abroad=0,COMPLETE,200,http,GET,text/html;charset=UTF-8,/172.24.3.158,mobile.api.hunantv.com/0.0.107.97,,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,42,,,,0,1,41,21.646484,0.0,564.4531,353,,108,470,,
http://aphone.v0.mgtv.com/d_cp.php?mod=Phantom6&act=as&vid=3734684&ch=yybcpd&time=20170914102958&guid=907447492067725312&mf=TECNO&uuid=&did=i9318c794e4c75cb&sver=aphone-6.0&net=1&sid=58900e13-0ef8-4fd4-bd81-f35f5b0e31b1&gps=121.481276%2C31.202879&aver=imgotv-aphone-5.5.2.1&isdebug=0,COMPLETE,200,http,GET,application/octet-stream,/172.24.3.158,aphone.v0.mgtv.com/0.0.107.98,,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,66,2,31,,0,0,33,8.285156,0.0,0.0,446,,114,0,,
http://rc.mgtv.com/mobile/like?did=i9318c794e4c75cb&uid=&vid=3734684&c=20&abroad=0,COMPLETE,200,http,GET,text/html; charset=UTF-8,/172.24.3.158,rc.mgtv.com/0.0.107.103,,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,79,2,42,,0,0,35,29.123047,0.0,0.0,245,,118,1993,,72.9%
http://mobile.api.hunantv.com/v8/video/relative?uid=&appVersion=5.5.2&ticket=&fstlvlType=20&osType=android&videoId=3734684&device=Phantom6&mac=i9318c794e4c75cb&abroad=0,COMPLETE,200,http,GET,text/html;charset=UTF-8,/172.24.3.158,mobile.api.hunantv.com/0.0.107.97,,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,14 Sep 2017 17:29:59,45,,,,0,1,44,61.305664,0.0,2435.5469,331,,108,2386,,77.8%
