MP4, , FrmNum,,,,FrmNumRatio(%),,, FrmSize(Byte),,,, FrmSizeRatio(%),,,AvgSize(Byte),,,,MaxSize(Byte),,,MinSize(Byte),,, Compressed Ratio, , , , Bit Rate(kbps), , , , , , , , Frame PSNR(db), , , , , , , , , , Frame QP, , , , , , , , , ,
MP4, Filesize(MB), All,I,P,B, I, P, B, All, I, P, B, I, P, B, Avg, I, P, B, I, P, B, I, P, B, Avg, I, P, B , avg, avgfps30, 1s, 2s, 3s, 4s, 5s, 6s, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB
Douyin-self-01-iphone7:7-01.mp4, 2.82, 452, 2, 258, 192, .44, 57.07, 42.47, 2711850, 43967, 2231520, 436363, 1.62, 82.28, 16.09,5999.66, 21983.50, 8649.30, 2272.72, 26661, 21050, 9222, 17306, 3429, 546, 129.60, 35.37, 89.90, 342.14,1406.79, 1406.79, 1035.93, 1040.03, 1135.52, 1206.80, 1302.76, 1313.50, 38.44, 41.98, 38.58, 38.21, 43.39, 43.70, 43.73, 40.58, 26.08, 30.84,25.37, 21.50, 24.36, 26.78, 22.00, 31.00, 37.00, 21.00, 22.00, 22.00
Douyin-self-01-iphone7:7-02.mp4, 2.85, 452, 2, 247, 203, .44, 54.64, 44.91, 2739616, 41118, 2229390, 469108, 1.50, 81.37, 17.12,6061.09, 20559.00, 9025.87, 2310.87, 25269, 21030, 9005, 15849, 4115, 513, 128.29, 37.82, 86.15, 336.49,1421.19, 1421.19, 962.46, 983.65, 1100.38, 1180.71, 1288.18, 1328.89, 38.06, 42.21, 38.08, 37.99, 43.55, 42.96, 42.95, 40.87, 27.41, 28.86,25.58, 21.50, 24.41, 27.05, 22.00, 30.00, 36.00, 21.00, 22.00, 22.00
Douyin-self-02-iphone7:7-01.mp4, 4.09, 453, 2, 216, 235, .44, 47.68, 51.87, 4039726, 148286, 3402203, 489237, 3.67, 84.21, 12.11,8917.71, 74143.00, 15750.93, 2081.85, 94914, 27014, 7630, 53372, 3659, 551, 87.19, 10.48, 49.36, 373.51,2090.09, 2090.09, 2532.60, 2108.69, 2137.99, 2208.36, 2108.17, 1950.76, 30.94, 33.40, 30.57, 31.26, 34.63, 39.03, 35.19, 32.18, 19.16, 19.26,33.11, 28.50, 30.83, 35.24, 31.00, 42.00, 47.00, 26.00, 27.00, 28.00
Douyin-self-02-iphone7:7-02.mp4, 4.21, 453, 2, 219, 232, .44, 48.34, 51.21, 4169463, 149553, 3525102, 494808, 3.58, 84.54, 11.86,9204.11, 74776.50, 16096.35, 2132.79, 96746, 26725, 7432, 52807, 2813, 481, 84.48, 10.39, 48.30, 364.59,2157.21, 2157.21, 2523.39, 2096.32, 2116.76, 2164.38, 2129.05, 2122.90, 30.98, 32.88, 30.35, 31.55, 34.43, 34.29, 35.35, 31.33, 17.54, 17.26,33.17, 29.00, 30.87, 35.38, 31.00, 43.00, 48.00, 27.00, 27.00, 30.00
Douyin-self-03-iphone7:7-01.mp4, 2.47, 452, 2, 213, 237, .44, 47.12, 52.43, 2337982, 43271, 1866264, 428447, 1.85, 79.82, 18.32,5172.52, 21635.50, 8761.80, 1807.79, 27944, 15624, 6479, 15327, 3529, 639, 150.33, 35.94, 88.74, 430.13,1212.84, 1212.84, 1052.45, 1072.43, 1169.40, 1135.83, 1159.91, 1220.06, 38.71, 42.26, 38.15, 39.19, 43.81, 44.22, 43.72, 40.72, 27.70, 31.82,25.40, 21.00, 24.28, 26.45, 21.00, 30.00, 38.00, 21.00, 22.00, 22.00
Douyin-self-03-iphone7:7-02.mp4, 2.59, 452, 2, 222, 228, .44, 49.11, 50.44, 2466709, 52677, 2029908, 384124, 2.13, 82.29, 15.57,5457.32, 26338.50, 9143.72, 1684.75, 34614, 20267, 7116, 18063, 414, 531, 142.48, 29.52, 85.04, 461.55,1279.62, 1279.62, 1171.71, 1178.37, 1184.67, 1191.37, 1275.20, 1317.53, 38.06, 42.06, 37.41, 38.64, 43.60, 44.76, 44.02, 40.53, 29.79, 31.91,26.03, 21.00, 24.66, 27.41, 21.00, 32.00, 37.00, 21.00, 21.00, 20.00
Douyin-self-04-iphone7:7p-01.mp4, 2.24, 370, 2, 162, 206, .54, 43.78, 55.67, 2139776, 100792, 1736894, 302090, 4.71, 81.17, 14.11,5783.17, 50396.00, 10721.56, 1466.45, 51139, 19160, 5395, 49653, 404, 560, 134.45, 15.42, 72.52, 530.26,1355.79, 1355.79, 1219.34, 1212.54, 1270.96, 1234.63, 1241.58, 1237.41, 37.75, 40.80, 36.75, 38.50, 41.83, 45.89, 41.40, 39.78, 33.36, 34.83,26.10, 21.50, 24.31, 27.54, 22.00, 29.00, 33.00, 21.00, 20.00, 22.00
Douyin-self-04-iphone7:7p-02.mp4, 2.06, 368, 2, 162, 204, .54, 44.02, 55.43, 1958239, 84870, 1578489, 294880, 4.33, 80.60, 15.05,5321.30, 42435.00, 9743.75, 1445.49, 42611, 18952, 7911, 42259, 3650, 517, 146.12, 18.32, 79.80, 537.94,1247.85, 1247.85, 1368.31, 1160.46, 1150.00, 1158.09, 1164.22, 1203.65, 38.47, 41.27, 37.51, 39.20, 42.29, 45.20, 41.57, 40.26, 34.53, 34.28,25.21, 21.00, 23.75, 26.40, 22.00, 28.00, 32.00, 20.00, 23.00, 21.00
Douyin-self-05-iphone7:7p-01.mp4, 1.76, 452, 2, 215, 235, .44, 47.56, 51.99, 1600816, 44302, 1149956, 406558, 2.76, 71.83, 25.39,3541.62, 22151.00, 5348.63, 1730.03, 23763, 10069, 3099, 20539, 338, 857, 219.56, 35.10, 145.38, 449.47,830.43, 830.43, 783.10, 775.62, 785.44, 788.95, 817.96, 804.05, 41.48, 42.90, 41.26, 41.67, 43.58, 45.05, 45.31, 42.23, 38.58, 34.86,22.63, 19.50, 22.43, 22.83, 20.00, 24.00, 26.00, 19.00, 20.00, 20.00
Douyin-self-05-iphone7:7p-02.mp4, 2.05, 452, 2, 268, 182, .44, 59.29, 40.26, 1907013, 50556, 1556533, 299924, 2.65, 81.62, 15.72,4219.05, 25278.00, 5807.95, 1647.93, 26568, 12801, 5271, 23988, 3058, 626, 184.30, 30.76, 133.88, 471.86,989.27, 989.27, 842.94, 940.87, 946.87, 990.50, 958.64, 968.38, , 42.02, , , 42.73, 45.83, 43.55, 41.31, 36.26, 32.92,23.47, 21.00, 22.94, 24.28, 22.00, 25.00, 31.00, 20.00, -1.00, -1.00
Douyin-self-0x-iphone7:7-01.mp4, 1.04, 230, 2, 106, 122, .86, 46.08, 53.04, 959000, 31765, 701907, 225328, 3.31, 73.19, 23.49,4169.56, 15882.50, 6621.76, 1846.95, 15942, 14033, 6084, 15823, 594, 562, 186.49, 48.95, 117.43, 421.01,978.09, 978.09, 631.23, 747.13, 784.11, 865.60, 909.24, 927.05, 39.44, 44.64, 39.35, 39.43, 45.26, 47.68, 43.92, 44.03, 31.96, 33.18,24.20, 19.50, 23.79, 24.63, 20.00, 28.00, 32.00, 19.00, 19.00, 21.00
Douyin-self-0xx-iphone7:7-01.mp4, 1.39, 221, 1, 86, 134, .45, 38.91, 60.63, 1333459, 42241, 884980, 406238, 3.16, 66.36, 30.46,6033.75, 42241.00, 10290.46, 3031.62, 42241, 21880, 11197, 42241, 3753, 418, 128.87, 18.40, 75.56, 256.49,1415.44, 1415.44, 1336.18, 1390.35, 1571.67, 1613.30, 1510.49, 1470.59, 37.19, 38.73, 36.40, 37.68, 38.73, 40.09, 42.08, 38.73, 29.79, 30.37,27.20, 24.00, 25.15, 28.55, 24.00, 29.00, 35.00, 24.00, 23.00, 24.00
Muse-self-01-iphone7:7-01.mp4, 3.78, 454, 1, 249, 204, .22, 54.84, 44.93, 3753294, 35883, 2921622, 795789, .95, 77.84, 21.20,8267.16, 35883.00, 11733.42, 3900.92, 35883, 22435, 7310, 35883, 1648, 958, 94.05, 21.67, 66.27, 199.33,1614.68, 1938.04, 1751.29, 1678.24, 1741.91, 1748.80, 1690.77, 1668.38, 39.50, 38.79, 39.50, 39.49, 38.79, 44.54, 43.93, 38.79, 31.45, 34.52,23.74, 25.00, 22.70, 25.00, 25.00, 30.00, 33.00, 25.00, 19.00, 20.00
Muse-self-01-iphone7:7-02.mp4, 3.86, 456, 1, 239, 216, .21, 52.41, 47.36, 3832739, 40911, 2983244, 808584, 1.06, 77.83, 21.09,8405.12, 40911.00, 12482.19, 3743.44, 40911, 20434, 6412, 40911, 1823, 1126, 92.51, 19.00, 62.29, 207.72,1641.62, 1969.95, 1817.91, 1602.46, 1738.31, 1671.66, 1718.23, 1662.95, 38.69, 38.17, 38.50, 38.91, 38.17, 43.25, 43.33, 38.17, 31.80, 34.25,24.46, 25.00, 23.37, 25.66, 25.00, 30.00, 32.00, 25.00, 18.00, 21.00
Muse-self-02-iphone7:7-01.mp4, 3.61, 441, 1, 237, 203, .22, 53.74, 46.03, 3573576, 26764, 2726482, 820330, .74, 76.29, 22.95,8103.34, 26764.00, 11504.14, 4041.03, 26764, 16903, 6898, 26764, 2919, 1486, 95.96, 29.05, 67.59, 192.42,1582.68, 1899.22, 1742.78, 1695.83, 1707.87, 1668.58, 1642.75, 1650.74, 38.73, 40.07, 38.48, 39.01, 40.07, 41.63, 40.99, 40.07, 35.36, 36.26,24.02, 25.00, 23.07, 25.13, 25.00, 27.00, 28.00, 25.00, 21.00, 23.00
Muse-self-02-iphone7:7-02.mp4, 3.65, 446, 1, 240, 205, .22, 53.81, 45.96, 3621374, 31655, 2811416, 778303, .87, 77.63, 21.49,8119.67, 31655.00, 11714.23, 3796.60, 31655, 20262, 9352, 31655, 1482, 760, 95.76, 24.56, 66.38, 204.81,1585.87, 1903.90, 1831.84, 1704.52, 1708.07, 1720.19, 1691.69, 1701.35, 38.04, 39.02, 37.85, 38.26, 39.02, 40.77, 41.01, 39.02, 33.07, 34.21,24.75, 25.00, 23.72, 25.95, 25.00, 28.00, 31.00, 25.00, 21.00, 23.00
Muse-self-03-iphone7:7p-01.mp4, 3.94, 469, 2, 243, 224, .42, 51.81, 47.76, 3913220, 41115, 2765357, 1106748, 1.05, 70.66, 28.28,8343.75, 20557.50, 11380.06, 4940.83, 29750, 20093, 9220, 11365, 2954, 2415, 93.19, 37.82, 68.33, 157.38,1629.63, 1955.98, 1724.66, 1590.26, 1650.67, 1634.50, 1664.76, 1614.90, 44.20, 44.89, 43.90, 44.52, 47.10, 47.54, 47.39, 42.69, 38.56, 39.61,19.07, 20.00, 18.08, 20.14, 24.00, 26.00, 25.00, 16.00, 16.00, 18.00
Muse-self-03-iphone7:7p-02.mp4, 3.98, 473, 2, 260, 211, .42, 54.96, 44.60, 3957053, 43104, 2917904, 996045, 1.08, 73.73, 25.17,8365.86, 21552.00, 11222.70, 4720.59, 31347, 17538, 12859, 11757, 3537, 2557, 92.94, 36.08, 69.28, 164.72,1633.95, 1961.57, 1667.78, 1686.53, 1595.64, 1661.59, 1607.97, 1644.52, , , , , 42.53, 46.11, 46.37, 42.53, 37.39, 38.27,17.08, 11.50, 16.61, 17.72, 24.00, 25.00, 25.00, -1.00, -1.00, -1.00
Muse-self-04-iphone7:7p-01.mp4, 2.54, 304, 1, 155, 148, .32, 50.98, 48.68, 2523382, 39244, 1900294, 583844, 1.55, 75.30, 23.13,8300.59, 39244.00, 12259.96, 3944.89, 39244, 18418, 7565, 39244, 4123, 1452, 93.68, 19.81, 63.42, 197.11,1621.21, 1946.09, 1848.33, 1661.96, 1665.04, 1598.93, 1596.47, 1582.31, 37.06, 39.13, 36.58, 37.55, 39.13, 40.15, 40.53, 39.13, 31.62, 33.85,26.48, 25.00, 25.54, 27.47, 25.00, 31.00, 33.00, 25.00, 23.00, 24.00
Muse-self-04-iphone7:7p-02.mp4, 2.51, 303, 1, 152, 150, .33, 50.16, 49.50, 2499490, 40609, 1915990, 542891, 1.62, 76.65, 21.72,8249.14, 40609.00, 12605.19, 3619.27, 40609, 19025, 6680, 40609, 5177, 1295, 94.26, 19.14, 61.68, 214.84,1611.16, 1933.39, 1858.03, 1662.42, 1675.81, 1626.67, 1596.45, 1578.59, 35.55, 38.76, 35.04, 36.04, 38.76, 38.66, 39.25, 38.76, 30.80, 31.73,27.94, 25.00, 26.89, 29.03, 25.00, 31.00, 33.00, 25.00, 24.00, 26.00
